"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 03- 20","8,345","8,200","8,420","8,100","361.42K","5.90%"
"2020- 03- 19","7,880","8,300","8,375","7,700","319.07K","-6.25%"
"2020- 03- 18","8,405","8,495","8,610","8,405","191.19K","-0.53%"
"2020- 03- 17","8,450","8,520","8,600","8,420","249.16K","-3.10%"
"2020- 03- 16","8,720","8,905","8,950","8,715","453.11K","-2.08%"
"2020- 03- 13","8,905","8,835","8,915","8,720","263.32K","-1.33%"
"2020- 03- 12","9,025","9,225","9,235","9,010","187.04K","-2.06%"
"2020- 03- 11","9,215","9,305","9,330","9,155","171.51K","-0.05%"
"2020- 03- 10","9,220","9,115","9,250","9,110","146.25K","1.82%"
"2020- 03- 09","9,055","9,205","9,230","9,010","222.82K","-2.06%"
"2020- 03- 06","9,245","9,295","9,305","9,220","86.85K","-1.81%"
"2020- 03- 05","9,415","9,355","9,435","9,310","252.34K","0.91%"
"2020- 03- 04","9,330","9,315","9,375","9,305","338.34K","1.30%"
"2020- 03- 03","9,210","9,285","9,320","9,200","272.71K","-0.22%"
"2020- 03- 02","9,230","9,050","9,255","9,030","509.72K","3.36%"
"2020- 02- 28","8,930","8,900","8,940","8,875","769.10K","0.51%"
"2020- 02- 27","8,885","8,930","8,990","8,875","252.78K","-0.17%"
"2020- 02- 26","8,900","8,905","8,945","8,850","402.39K","-1.06%"
"2020- 02- 25","8,995","8,875","9,010","8,870","422.26K","1.52%"
"2020- 02- 24","8,860","8,930","8,930","8,860","710.36K","-1.88%"
"2020- 02- 21","9,030","9,070","9,105","9,030","717.04K","-1.69%"
"2020- 02- 20","9,185","9,280","9,285","9,120","726.97K","-1.40%"
"2020- 02- 19","9,315","9,320","9,335","9,260","156.27K","-0.05%"
"2020- 02- 18","9,320","9,385","9,385","9,305","78.27K","-0.96%"
"2020- 02- 17","9,410","9,425","9,475","9,410","40.38K","0.00%"
"2020- 02- 14","9,410","9,410","9,435","9,390","49.62K","-0.26%"
"2020- 02- 13","9,435","9,450","9,490","9,410","89.90K","-0.68%"
"2020- 02- 12","9,500","9,450","9,535","9,420","90.08K","0.48%"
"2020- 02- 11","9,455","9,375","9,465","9,360","92.13K","0.85%"
"2020- 02- 10","9,375","9,280","9,375","9,260","99.96K","-0.16%"
"2020- 02- 07","9,390","9,400","9,405","9,345","65.84K","-1.05%"
"2020- 02- 06","9,490","9,415","9,510","9,405","131.81K","1.88%"
"2020- 02- 05","9,315","9,420","9,420","9,295","115.63K","-0.64%"
"2020- 02- 04","9,375","9,300","9,395","9,270","168.21K","1.24%"
"2020- 02- 03","9,260","9,250","9,270","9,195","200.15K","-0.54%"
"2020- 01- 31","9,310","9,400","9,425","9,305","131.09K","-1.17%"
"2020- 01- 30","9,420","9,510","9,520","9,410","106.28K","-1.36%"
"2020- 01- 29","9,550","9,585","9,595","9,535","35.46K","-0.16%"
"2020- 01- 28","9,565","9,520","9,575","9,520","54.47K","-1.34%"
"2020- 01- 23","9,695","9,715","9,745","9,690","29.31K","-0.67%"
