"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 05- 12","9,165","9,100","9,185","9,090","129.77K","0.88%"
"2021- 05- 11","9,085","9,050","9,105","9,035","76.20K","0.89%"
"2021- 05- 10","9,005","9,000","9,040","8,985","142.12K","-1.32%"
"2021- 05- 07","9,125","9,110","9,145","9,090","70.02K","-0.65%"
"2021- 05- 06","9,185","9,175","9,205","9,165","163.42K","0.49%"
"2021- 05- 04","9,140","9,105","9,145","9,085","109.77K","-0.22%"
"2021- 05- 03","9,160","9,050","9,160","9,035","187.63K","2.18%"
"2021- 04- 30","8,965","8,915","8,980","8,895","111.55K","0.62%"
"2021- 04- 29","8,910","8,910","8,920","8,875","157.51K","-0.78%"
"2021- 04- 28","8,980","8,980","9,005","8,960","108.87K","0.45%"
"2021- 04- 27","8,940","8,960","8,985","8,925","138.40K","-0.50%"
"2021- 04- 26","8,985","9,040","9,050","8,955","83.89K","-0.77%"
"2021- 04- 23","9,055","9,105","9,105","9,055","66.97K","0.06%"
"2021- 04- 22","9,050","9,050","9,065","9,015","52.65K","-0.28%"
"2021- 04- 21","9,075","9,045","9,080","9,035","136.42K","1.11%"
"2021- 04- 20","8,975","9,035","9,050","8,950","160.93K","-0.99%"
"2021- 04- 19","9,065","9,060","9,095","9,015","87.27K","0.28%"
"2021- 04- 16","9,040","9,065","9,130","9,005","322.42K","-0.39%"
"2021- 04- 15","9,075","9,060","9,095","9,040","214.87K","0.17%"
"2021- 04- 14","9,060","9,155","9,170","9,055","176.00K","-1.68%"
"2021- 04- 13","9,215","9,200","9,240","9,175","60.73K","0.27%"
"2021- 04- 12","9,190","9,130","9,220","9,125","130.89K","0.66%"
"2021- 04- 09","9,130","9,045","9,130","9,010","170.08K","0.72%"
"2021- 04- 08","9,065","9,105","9,125","9,050","156.07K","0.11%"
"2021- 04- 07","9,055","9,070","9,100","9,025","134.78K","-0.60%"
"2021- 04- 06","9,110","9,190","9,200","9,110","160.08K","-1.30%"
"2021- 04- 05","9,230","9,240","9,260","9,225","36.19K","-0.11%"
"2021- 04- 02","9,240","9,270","9,270","9,220","70.49K","-0.75%"
"2021- 04- 01","9,310","9,255","9,320","9,210","100.28K","-0.11%"
"2021- 03- 31","9,320","9,345","9,345","9,300","32.64K","-0.27%"
"2021- 03- 30","9,345","9,315","9,350","9,310","56.89K","0.43%"
"2021- 03- 29","9,305","9,275","9,330","9,275","65.29K","0.54%"
"2021- 03- 26","9,255","9,340","9,345","9,255","47.59K","-0.91%"
"2021- 03- 25","9,340","9,355","9,375","9,315","76.64K","0.16%"
"2021- 03- 24","9,325","9,340","9,355","9,300","92.51K","0.59%"
"2021- 03- 23","9,270","9,210","9,270","9,195","56.36K","0.16%"
"2021- 03- 22","9,255","9,305","9,330","9,255","153.18K","-0.32%"
"2021- 03- 19","9,285","9,235","9,340","9,235","94.07K","1.20%"
"2021- 03- 18","9,175","9,160","9,195","9,135","130.95K","-1.13%"
"2021- 03- 17","9,280","9,275","9,335","9,275","91.65K","0.05%"
"2021- 03- 16","9,275","9,330","9,360","9,265","104.79K","-1.12%"
"2021- 03- 15","9,380","9,375","9,410","9,320","149.73K","0.64%"
"2021- 03- 12","9,320","9,260","9,335","9,225","221.07K","-1.69%"
"2021- 03- 10","9,480","9,370","9,510","9,365","185.86K","3.89%"
"2021- 03- 03","9,125","9,195","9,195","9,120","68.39K","-0.54%"
"2021- 03- 02","9,175","9,045","9,205","9,045","143.98K","0.22%"
"2021- 02- 26","9,155","9,090","9,170","9,085","239.67K","2.69%"
"2021- 02- 25","8,915","8,880","8,955","8,880","69.12K","-0.50%"
"2021- 02- 23","8,960","8,970","8,990","8,925","86.79K","0.56%"
"2021- 02- 18","8,910","8,895","8,915","8,845","57.71K","-2.09%"
"2021- 02- 08","9,100","9,090","9,135","9,065","69.87K","-0.82%"
"2021- 02- 05","9,175","9,125","9,230","9,105","143.20K","0.94%"
"2021- 02- 04","9,090","9,015","9,105","9,000","83.29K","-0.05%"
"2021- 01- 28","9,095","8,950","9,095","8,950","255.76K","3.23%"
"2021- 01- 25","8,810","8,865","8,875","8,800","129.48K","0.57%"
"2021- 01- 21","8,760","8,775","8,805","8,755","81.89K","-0.34%"
"2021- 01- 20","8,790","8,795","8,815","8,760","103.75K","0.23%"
"2021- 01- 15","8,770","8,725","8,780","8,720","102.57K","0.06%"
"2021- 01- 14","8,765","8,755","8,840","8,755","166.81K","0.17%"
"2021- 01- 11","8,750","8,670","8,795","8,670","192.03K","1.51%"
"2021- 01- 08","8,620","8,670","8,760","8,620","220.69K","0.41%"
"2021- 01- 07","8,585","8,580","8,630","8,560","82.17K","-0.06%"
"2021- 01- 05","8,590","8,565","8,590","8,505","151.41K","1.06%"
"2021- 01- 04","8,500","8,560","8,575","8,470","106.49K","-0.76%"
"2020- 12- 30","8,565","8,645","8,655","8,545","201.02K","-2.39%"
"2020- 12- 24","8,775","8,855","8,870","8,775","211.22K","-0.45%"
"2020- 12- 21","8,815","8,780","8,830","8,740","175.82K","1.79%"
"2020- 12- 15","8,660","8,655","8,700","8,635","173.71K","0.17%"
"2020- 12- 14","8,645","8,645","8,650","8,595","181.15K","0.29%"
"2020- 12- 11","8,620","8,565","8,670","8,550","127.33K","0.47%"
"2020- 12- 10","8,580","8,560","8,580","8,530","187.67K","0.41%"
"2020- 12- 08","8,545","8,525","8,545","8,505","89.05K","-2.29%"
"2020- 12- 03","8,745","8,785","8,800","8,700","165.73K","-1.91%"
"2020- 11- 25","8,915","8,920","8,925","8,865","113.79K","-0.45%"
"2020- 11- 24","8,955","9,000","9,000","8,925","81.61K","-0.72%"
"2020- 11- 20","9,020","9,015","9,040","8,980","71.04K","1.12%"
"2020- 11- 16","8,920","8,920","8,940","8,870","140.45K","-0.11%"
"2020- 11- 11","8,930","9,030","9,030","8,915","113.83K","-0.67%"
"2020- 11- 09","8,990","9,075","9,095","8,975","162.24K","-4.16%"
"2020- 11- 04","9,380","9,225","9,540","9,210","267.12K","0.54%"
"2020- 11- 03","9,330","9,290","9,365","9,290","50.20K","0.05%"
"2020- 11- 02","9,325","9,365","9,365","9,305","61.60K","0.54%"
"2020- 10- 28","9,275","9,250","9,275","9,210","25.89K","0.92%"
"2020- 10- 27","9,190","9,290","9,295","9,180","45.75K","-0.43%"
"2020- 10- 26","9,230","9,270","9,270","9,225","59.56K","-0.86%"
"2020- 10- 22","9,310","9,325","9,365","9,300","46.04K","0.16%"
"2020- 10- 21","9,295","9,405","9,405","9,280","101.84K","-1.33%"
"2020- 10- 20","9,420","9,455","9,455","9,395","51.12K","-1.00%"
"2020- 10- 14","9,515","9,570","9,570","9,465","117.29K","-0.26%"
"2020- 10- 12","9,540","9,570","9,590","9,535","113.35K","-2.80%"
"2020- 10- 05","9,815","9,870","9,870","9,775","44.38K","-1.06%"
"2020- 09- 29","9,920","9,890","9,935","9,875","27.47K","-0.60%"
"2020- 09- 28","9,980","9,960","10,000","9,950","41.49K","0.20%"
"2020- 09- 25","9,960","9,910","9,975","9,895","40.02K","1.32%"
"2020- 09- 23","9,830","9,800","9,850","9,780","75.94K","0.72%"
"2020- 09- 18","9,760","9,925","9,925","9,745","372.42K","-4.03%"
"2020- 09- 10","10,170","10,185","10,190","10,165","39.89K","-0.68%"
"2020- 09- 09","10,240","10,270","10,275","10,225","39.82K","-0.19%"
"2020- 09- 04","10,260","10,300","10,300","10,240","77.34K","1.28%"
"2020- 09- 01","10,130","10,205","10,205","10,130","54.79K","-0.20%"
"2020- 08- 28","10,150","10,190","10,210","10,145","58.55K","-0.29%"
"2020- 08- 25","10,180","10,245","10,245","10,175","78.61K","-0.63%"
"2020- 08- 24","10,245","10,275","10,305","10,230","82.09K","0.49%"
"2020- 08- 21","10,195","10,170","10,200","10,140","190.17K","0.20%"
"2020- 08- 18","10,175","10,150","10,195","10,150","106.89K","0.20%"
"2020- 08- 14","10,155","10,155","10,215","10,155","216.64K","0.10%"
"2020- 08- 13","10,145","10,130","10,155","10,105","84.67K","-0.29%"
"2020- 08- 11","10,175","10,190","10,210","10,150","127.57K","-0.05%"
"2020- 08- 10","10,180","10,235","10,235","10,160","63.66K","0.10%"
"2020- 08- 07","10,170","10,165","10,230","10,155","91.42K","-1.36%"
"2020- 08- 03","10,310","10,305","10,360","10,300","127.60K","-0.19%"
"2020- 07- 30","10,330","10,250","10,345","10,225","173.66K","-1.10%"
"2020- 07- 24","10,445","10,460","10,480","10,410","127.74K","0.67%"
"2020- 07- 23","10,375","10,380","10,420","10,365","99.90K","0.39%"
"2020- 07- 22","10,335","10,325","10,345","10,315","128.43K","-1.43%"
"2020- 07- 20","10,485","10,505","10,540","10,470","47.90K","-0.43%"
"2020- 07- 17","10,530","10,520","10,550","10,485","61.73K","0.05%"
"2020- 07- 14","10,525","10,500","10,560","10,495","111.89K","1.54%"
"2020- 07- 06","10,365","10,430","10,430","10,360","106.82K","-1.29%"
"2020- 07- 01","10,500","10,410","10,515","10,405","170.28K","0.24%"
"2020- 06- 30","10,475","10,410","10,480","10,360","199.45K","-1.32%"
"2020- 06- 23","10,615","10,575","10,710","10,545","143.50K","-0.75%"
"2020- 06- 22","10,695","10,650","10,695","10,610","94.59K","1.09%"
"2020- 06- 18","10,580","10,735","10,745","10,580","117.79K","-1.35%"
"2020- 06- 15","10,725","10,580","10,725","10,550","227.81K","2.09%"
"2020- 06- 12","10,505","10,575","10,600","10,490","392.92K","1.40%"
"2020- 06- 11","10,360","10,310","10,380","10,225","189.12K","-1.57%"
"2020- 06- 08","10,525","10,445","10,535","10,440","161.69K","-0.43%"
"2020- 06- 05","10,570","10,745","10,755","10,565","244.70K","-1.77%"
"2020- 06- 04","10,760","10,705","10,760","10,690","102.99K","-1.10%"
"2020- 06- 02","10,880","10,880","10,890","10,820","94.63K","0.09%"
"2020- 06- 01","10,870","11,005","11,010","10,870","211.15K","-2.16%"
"2020- 05- 29","11,110","11,125","11,150","11,050","193.73K","0.27%"
"2020- 05- 22","11,080","11,035","11,120","11,025","129.44K","1.89%"
"2020- 05- 19","10,875","10,880","10,915","10,815","108.99K","-0.96%"
"2020- 05- 15","10,980","10,910","10,980","10,910","135.48K","0.50%"
"2020- 05- 14","10,925","10,945","10,960","10,905","109.13K","0.51%"
"2020- 05- 13","10,870","10,950","10,950","10,855","49.83K","0.79%"
"2020- 05- 11","10,785","10,775","10,785","10,700","209.15K","-0.37%"
"2020- 05- 06","10,825","10,830","10,900","10,825","139.41K","0.60%"
"2020- 04- 29","10,760","10,855","10,855","10,735","163.12K","-2.09%"
"2020- 04- 22","10,990","11,035","11,085","10,980","287.03K","2.23%"
"2020- 04- 17","10,750","10,865","10,865","10,710","218.56K","0.14%"
"2020- 04- 14","10,735","10,690","10,755","10,670","171.45K","-0.69%"
"2020- 04- 08","10,810","10,740","10,825","10,725","221.98K","0.14%"
"2020- 04- 07","10,795","10,810","10,870","10,760","386.36K","-1.77%"
"2020- 04- 03","10,990","10,900","11,020","10,855","281.77K","2.38%"
"2020- 03- 31","10,735","10,810","10,820","10,685","1.39M","-1.01%"
"2020- 03- 30","10,845","10,705","10,880","10,650","1.89M","-1.50%"
"2020- 03- 26","11,010","10,860","11,010","10,805","802.35K","-2.18%"
"2020- 03- 24","11,255","11,430","11,500","11,240","1.74M","-2.72%"
"2020- 03- 23","11,570","11,945","11,970","11,480","2.59M","-3.62%"
"2020- 03- 19","12,005","11,390","12,500","11,270","4.12M","6.24%"
"2020- 03- 18","11,300","11,120","11,300","10,960","1.56M","0.94%"
"2020- 03- 17","11,195","11,085","11,225","10,990","1.44M","4.63%"
"2020- 03- 13","10,700","10,785","10,915","10,655","2.82M","1.81%"
