key,case,model,lookback,shift,best_cv_RMSE,best_cv_MSPE,best_cv_MAE,best_cv_MAPE,best_cv_MedAE,best_cv_MedAPE,best_hp_json
Macro + Sentiment (Direct)||SARIMA||lb=20||shift=1,Macro + Sentiment (Direct),SARIMA,20,1,44.6787689654232,0.1772098102556837,38.42429904862512,2.945489986415111,34.66454092618858,2.57513930284068,"{""order_p"": 2, ""order_d"": 1, ""order_q"": 1, ""seasonal_P"": 0, ""seasonal_D"": 1, ""seasonal_Q"": 1, ""seasonal_s"": 5}"
Macro + Sentiment (Direct)||SARIMA||lb=30||shift=1,Macro + Sentiment (Direct),SARIMA,30,1,44.6787689654232,0.1772098102556837,38.42429904862512,2.945489986415111,34.66454092618858,2.57513930284068,"{""order_p"": 2, ""order_d"": 1, ""order_q"": 1, ""seasonal_P"": 0, ""seasonal_D"": 1, ""seasonal_Q"": 1, ""seasonal_s"": 5}"
Macro + Sentiment (Direct)||SARIMA||lb=60||shift=1,Macro + Sentiment (Direct),SARIMA,60,1,44.6787689654232,0.1772098102556837,38.42429904862512,2.945489986415111,34.66454092618858,2.57513930284068,"{""order_p"": 2, ""order_d"": 1, ""order_q"": 1, ""seasonal_P"": 0, ""seasonal_D"": 1, ""seasonal_Q"": 1, ""seasonal_s"": 5}"
Macro + Sentiment (Direct)||SARIMA||lb=90||shift=1,Macro + Sentiment (Direct),SARIMA,90,1,44.6787689654232,0.1772098102556837,38.42429904862512,2.945489986415111,34.66454092618858,2.57513930284068,"{""order_p"": 2, ""order_d"": 1, ""order_q"": 1, ""seasonal_P"": 0, ""seasonal_D"": 1, ""seasonal_Q"": 1, ""seasonal_s"": 5}"
Macro + Sentiment (Direct)||RandomForest||lb=5||shift=1,Macro + Sentiment (Direct),RandomForest,5,1,8.932219183763916,0.0047482764930812,7.268887162851509,0.554158626755964,6.461535996074758,0.4948120096785858,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""log2""}"
Macro + Sentiment (Direct)||XGBoost||lb=5||shift=1,Macro + Sentiment (Direct),XGBoost,5,1,8.901528108987652,0.0047232593662962,7.214724988822478,0.5500371851624745,6.035919189453125,0.4612346458450769,"{""n_estimators"": 100, ""max_depth"": 9, ""learning_rate"": 0.01, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""min_child_weight"": 3}"
Macro + Sentiment (Direct)||RandomForest||lb=10||shift=1,Macro + Sentiment (Direct),RandomForest,10,1,8.871905971603379,0.0046781908432347,7.204008784155114,0.5489420656502947,6.103628450114684,0.4698219431810934,"{""n_estimators"": 300, ""max_depth"": 5, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""log2""}"
Macro + Sentiment (Direct)||XGBoost||lb=10||shift=1,Macro + Sentiment (Direct),XGBoost,10,1,9.217141916190888,0.0050460266490275,7.44992647703237,0.5676502998083062,6.382339477539063,0.4877391014706205,"{""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""min_child_weight"": 7}"
Macro + Sentiment (Direct)||RandomForest||lb=20||shift=1,Macro + Sentiment (Direct),RandomForest,20,1,8.950963192866535,0.0047791731887639,7.33148071061597,0.5589998807544418,6.570021443021801,0.5062654114183778,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}"
Macro + Sentiment (Direct)||XGBoost||lb=20||shift=1,Macro + Sentiment (Direct),XGBoost,20,1,8.746441057710529,0.004599507861509,7.079750392747963,0.5401905794111316,6.043472290039063,0.4591501009427565,"{""n_estimators"": 100, ""max_depth"": 9, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""min_child_weight"": 3}"
Macro + Sentiment (Direct)||RandomForest||lb=30||shift=1,Macro + Sentiment (Direct),RandomForest,30,1,8.980326739387507,0.0048426400110463,7.287128619071545,0.5567302683980314,6.643888258153709,0.5088388079089927,"{""n_estimators"": 100, ""max_depth"": 30, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""log2""}"
