holdout_key,key,case,model,lookback,shift,best_hp_json,best_cv_RMSE,best_cv_MAE,best_cv_MAPE,best_cv_MSPE,best_cv_MedAE,best_cv_MedAPE,holdout_RMSE,holdout_MSPE,holdout_MAE,holdout_MAPE,holdout_MedAE,holdout_MedAPE
Macro + Sentiment (Indirect)||RandomWalk||lb=10||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomWalk||lb=10||shift=1,Macro + Sentiment (Indirect),RandomWalk,10,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Indirect)||RandomWalk||lb=20||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomWalk||lb=20||shift=1,Macro + Sentiment (Indirect),RandomWalk,20,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Indirect)||RandomWalk||lb=30||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomWalk||lb=30||shift=1,Macro + Sentiment (Indirect),RandomWalk,30,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Indirect)||RandomWalk||lb=60||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomWalk||lb=60||shift=1,Macro + Sentiment (Indirect),RandomWalk,60,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Indirect)||RandomWalk||lb=90||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomWalk||lb=90||shift=1,Macro + Sentiment (Indirect),RandomWalk,90,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
Macro + Sentiment (Indirect)||SARIMA||lb=5||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||SARIMA||lb=5||shift=1,Macro + Sentiment (Indirect),SARIMA,5,1,"{""order_p"": 1, ""order_d"": 1, ""order_q"": 2, ""seasonal_P"": 1, ""seasonal_D"": 0, ""seasonal_Q"": 1, ""seasonal_s"": 5}",43.21104524628481,37.035736559850754,2.813162423617108,0.1271211563330969,36.3851830911413,2.8276740276143646,72.68904165806812,0.2713119854077678,63.95299829768752,4.631324594298005,66.75817789429061,4.887378948352665
Macro + Sentiment (Indirect)||SARIMA||lb=10||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||SARIMA||lb=10||shift=1,Macro + Sentiment (Indirect),SARIMA,10,1,"{""order_p"": 1, ""order_d"": 1, ""order_q"": 2, ""seasonal_P"": 1, ""seasonal_D"": 0, ""seasonal_Q"": 1, ""seasonal_s"": 5}",43.21104524628481,37.035736559850754,2.813162423617108,0.1271211563330969,36.3851830911413,2.8276740276143646,72.68904165806812,0.2713119854077678,63.95299829768752,4.631324594298005,66.75817789429061,4.887378948352665
Macro + Sentiment (Indirect)||SARIMA||lb=20||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||SARIMA||lb=20||shift=1,Macro + Sentiment (Indirect),SARIMA,20,1,"{""order_p"": 1, ""order_d"": 1, ""order_q"": 2, ""seasonal_P"": 1, ""seasonal_D"": 0, ""seasonal_Q"": 1, ""seasonal_s"": 5}",43.21104524628481,37.035736559850754,2.813162423617108,0.1271211563330969,36.3851830911413,2.8276740276143646,72.68904165806812,0.2713119854077678,63.95299829768752,4.631324594298005,66.75817789429061,4.887378948352665
Macro + Sentiment (Indirect)||SARIMA||lb=30||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||SARIMA||lb=30||shift=1,Macro + Sentiment (Indirect),SARIMA,30,1,"{""order_p"": 1, ""order_d"": 1, ""order_q"": 2, ""seasonal_P"": 1, ""seasonal_D"": 0, ""seasonal_Q"": 1, ""seasonal_s"": 5}",43.21104524628481,37.035736559850754,2.813162423617108,0.1271211563330969,36.3851830911413,2.8276740276143646,72.68904165806812,0.2713119854077678,63.95299829768752,4.631324594298005,66.75817789429061,4.887378948352665
Macro + Sentiment (Indirect)||SARIMA||lb=60||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||SARIMA||lb=60||shift=1,Macro + Sentiment (Indirect),SARIMA,60,1,"{""order_p"": 1, ""order_d"": 1, ""order_q"": 2, ""seasonal_P"": 1, ""seasonal_D"": 0, ""seasonal_Q"": 1, ""seasonal_s"": 5}",43.21104524628481,37.035736559850754,2.813162423617108,0.1271211563330969,36.3851830911413,2.8276740276143646,72.68904165806812,0.2713119854077678,63.95299829768752,4.631324594298005,66.75817789429061,4.887378948352665
